alpha-3,month,temperatureHigh,temperatureLow,uvIndex,avg_temp
ISL,04,30.451904761904757,20.25809523809524,2.238095238095238,25.354999999999997
ISR,01,57.1541935483871,42.74161290322581,3.3548387096774195,49.94790322580644
ISR,02,60.84413793103449,45.00965517241379,4.827586206896552,52.926896551724134
ISR,03,68.3109677419355,49.38161290322579,6.193548387096774,58.84629032258064
ISR,04,75.40899999999999,51.4465,7.5,63.42775
ISR,12,59.38,43.18,3.0,51.28
ITA,01,54.9674193548387,36.33483870967742,1.3225806451612903,45.65112903225807
ITA,02,61.77827586206898,37.36999999999999,2.6551724137931036,49.57413793103449
ITA,03,60.436774193548395,37.69322580645161,3.806451612903226,49.065000000000005
ITA,04,70.137,42.9165,5.55,56.526750000000014
ITA,12,53.93,30.45,1.0,42.19
JAM,01,84.75064516129034,67.52967741935485,6.806451612903226,76.14016129032258
JAM,02,85.15517241379311,68.61137931034482,7.724137931034483,76.88327586206894
JAM,03,85.31225806451614,67.99903225806449,9.096774193548388,76.65564516129032
JAM,04,89.91849999999998,68.83349999999999,10.5,79.376
JAM,12,86.65,68.51,7.0,77.58000000000001
JEY,01,51.3490322580645,46.19870967741935,1.0,48.77387096774193
JEY,02,52.164482758620686,46.160000000000004,1.5517241379310345,49.16224137931036
JEY,03,51.509062500000006,45.1725,2.71875,48.340781250000006
JEY,04,58.435500000000005,50.585499999999996,4.7,54.5105
JOR,01,55.93387096774195,37.58354838709676,3.4516129032258065,46.75870967741937
JOR,02,60.72034482758621,40.538620689655176,4.9655172413793105,50.629482758620696
JOR,03,67.66064516129033,47.19161290322582,6.806451612903226,57.42612903225807
JOR,04,74.31950000000002,51.076499999999996,7.7,62.69799999999999
JOR,12,57.77,37.44,3.0,47.605000000000004
JPN,01,45.80032258064516,26.181612903225805,2.5483870967741935,35.990967741935485
JPN,02,47.449999999999996,24.02931034482759,3.5517241379310347,35.7396551724138
JPN,03,52.92741935483871,29.565161290322585,4.741935483870968,41.24629032258064
JPN,04,57.544500000000006,33.013999999999996,5.35,45.279250000000005
JPN,12,44.96,21.73,3.0,33.345
KAZ,01,21.73677419354839,11.229032258064517,1.0,16.482903225806446
KAZ,02,29.167931034482763,15.384482758620686,1.4482758620689655,22.276206896551727
KAZ,03,41.21451612903226,20.15709677419355,3.161290322580645,30.685806451612898
KAZ,04,60.08649999999999,38.86749999999999,4.05,49.477000000000004
KAZ,12,31.2,17.02,1.0,24.11
KEN,01,81.69483870967738,65.68290322580646,8.838709677419354,73.68887096774193
KEN,02,84.3496551724138,66.9244827586207,9.758620689655173,75.63706896551726
